Split Type,Model,Baseline,POI Attention MDE,Baseline MDE,MDE Improvement,% Improvement,p-value,Cohen dz,95% CI Lower,95% CI Upper
A,POI Attention LSTM - Exclude Env A,No-POI LSTM Baseline,1.6196869207934015,1.8629754347194432,0.24328851392604153,13.059136980122329,0.0,0.20082034592597295,0.23223705987058235,0.2546030639918133
A,POI Attention LSTM - Exclude Env A,Zero Displacement Baseline,1.6196869207934015,2.03465018647109,0.414963265677689,20.394821106688806,0.0,0.34763744962483667,0.403959328998865,0.42602255915147147
A,POI Attention LSTM - Exclude Env A,Constant Velocity Baseline,1.6196869207934015,2.4954069637016754,0.8757200429082741,35.09327559177902,0.0,0.48108035087553763,0.8593773079771319,0.8929960496371295
B,POI Attention LSTM - Exclude Env B,No-POI LSTM Baseline,1.6314217786181373,1.8278728745538904,0.19645109593575288,10.747525097099471,1.1130715438769468e-291,0.16393404265374031,0.18579090500163697,0.20735193559192158
B,POI Attention LSTM - Exclude Env B,Zero Displacement Baseline,1.6314217786181373,2.0576799378449775,0.4262581592268404,20.715474325577745,0.0,0.3629149369800139,0.4158064969757017,0.4368987166272204
B,POI Attention LSTM - Exclude Env B,Constant Velocity Baseline,1.6314217786181373,2.486477528551428,0.8550557499332903,34.38823557080078,0.0,0.4337503219845125,0.8378168848074348,0.8726221042419642
C,POI Attention LSTM - Exclude Env C,No-POI LSTM Baseline,1.6102789582507284,1.8005217972242216,0.1902428389734934,10.565983664667748,1.645723171623974e-297,0.15357524716012924,0.18031898875618144,0.20055444875555187
C,POI Attention LSTM - Exclude Env C,Zero Displacement Baseline,1.6102789582507284,2.037276794582241,0.42699783633151306,20.959245079855343,0.0,0.36047296065117784,0.4175799283639044,0.4367528821210219
C,POI Attention LSTM - Exclude Env C,Constant Velocity Baseline,1.6102789582507284,2.3426238357252367,0.7323448774745085,31.26173593498791,0.0,0.4554571111103604,0.7195075489151703,0.7455120831420116
D,POI Attention LSTM - Exclude Env D,No-POI LSTM Baseline,1.6397635064870535,1.7482895282907815,0.10852602180372832,6.2075543007930145,2.887435435892682e-115,0.08779613906514011,0.10025012376700627,0.11678321369913873
D,POI Attention LSTM - Exclude Env D,Zero Displacement Baseline,1.6397635064870535,1.9296009122743165,0.2898374057872629,15.02058814045891,0.0,0.25352135453172,0.28201143377967947,0.2973033320182017
D,POI Attention LSTM - Exclude Env D,Constant Velocity Baseline,1.6397635064870535,2.2956326406405347,0.6558691341534817,28.570300079479573,0.0,0.36919190136100266,0.6441712980012557,0.6680550411301786
,"POI Attention LSTM - Exclude Users [2, 15]",No-POI LSTM Baseline,1.3205563397114362,1.5227460740028576,0.20218973429142145,13.27796785973142,4.233972318517641e-196,0.17738402555273075,0.18826882777114967,0.2157308036487541
,"POI Attention LSTM - Exclude Users [2, 15]",Zero Displacement Baseline,1.3205563397114362,1.9681559876521515,0.6475996479407153,32.903878148055156,0.0,0.5702768293335739,0.6336195445544022,0.6615206447774229
,"POI Attention LSTM - Exclude Users [2, 15]",Constant Velocity Baseline,1.3205563397114362,2.1548626662455836,0.8343063265341477,38.717378123579415,0.0,0.5755138307241696,0.8165765646685398,0.8520604913006609
