Test Type,Test Split,Model,Baseline,POI Attention MDE,Baseline MDE,MDE Improvement,% Improvement,p-value,Cohen dz,95% CI Lower,95% CI Upper
Held-Out Environment,A,POI Attention LSTM - Exclude Env A,No-POI LSTM Baseline,1.6196869207934017,1.8629754347194432,0.2432885139260415,13.059136980122329,0.0,0.2008203459259729,0.2322370598705823,0.2546030639918133
Held-Out Environment,A,POI Attention LSTM - Exclude Env A,Zero Displacement Baseline,1.6196869207934017,2.03465018647109,0.414963265677689,20.39482110668881,0.0,0.3476374496248366,0.403959328998865,0.4260225591514714
Held-Out Environment,A,POI Attention LSTM - Exclude Env A,Constant Velocity Baseline,1.6196869207934017,2.495406963701676,0.8757200429082741,35.09327559177902,0.0,0.4810803508755376,0.8593773079771319,0.8929960496371295
Held-Out Environment,B,POI Attention LSTM - Exclude Env B,No-POI LSTM Baseline,1.6314217786181373,1.8278728745538904,0.1964510959357528,10.747525097099471,1.1130715438769468e-291,0.1639340426537403,0.1857909050016369,0.2073519355919215
Held-Out Environment,B,POI Attention LSTM - Exclude Env B,Zero Displacement Baseline,1.6314217786181373,2.057679937844977,0.4262581592268404,20.715474325577745,0.0,0.3629149369800139,0.4158064969757017,0.4368987166272204
Held-Out Environment,B,POI Attention LSTM - Exclude Env B,Constant Velocity Baseline,1.6314217786181373,2.486477528551428,0.8550557499332903,34.38823557080078,0.0,0.4337503219845125,0.8378168848074348,0.8726221042419642
Held-Out Environment,C,POI Attention LSTM - Exclude Env C,No-POI LSTM Baseline,1.6102789582507284,1.8005217972242216,0.1902428389734934,10.565983664667748,1.6457231716239738e-297,0.1535752471601292,0.1803189887561814,0.2005544487555518
Held-Out Environment,C,POI Attention LSTM - Exclude Env C,Zero Displacement Baseline,1.6102789582507284,2.037276794582241,0.426997836331513,20.959245079855343,0.0,0.3604729606511778,0.4175799283639044,0.4367528821210219
Held-Out Environment,C,POI Attention LSTM - Exclude Env C,Constant Velocity Baseline,1.6102789582507284,2.3426238357252367,0.7323448774745085,31.26173593498791,0.0,0.4554571111103604,0.7195075489151703,0.7455120831420116
Held-Out Environment,D,POI Attention LSTM - Exclude Env D,No-POI LSTM Baseline,2.3349745157218016,2.3389522528702744,0.003977737148473,0.1700649144757742,0.5158955709825925,0.0031039861337173,-0.0168484316323464,0.024627746263623
Held-Out Environment,D,POI Attention LSTM - Exclude Env D,Zero Displacement Baseline,2.3349745157218016,2.298209233757377,-0.0367652819644247,-1.599736065123914,2.754237558037748e-05,-0.0432880726038836,-0.0507508885840791,-0.0230808144778304
Held-Out Environment,D,POI Attention LSTM - Exclude Env D,Constant Velocity Baseline,2.3349745157218016,2.885395808589572,0.5504212928677704,19.07611050203976,0.0,0.3505610517045928,0.5249775781791483,0.5755708406361747
Held-Out Users,"Users [2, 15]","POI Attention LSTM - Exclude Users [2, 15]",No-POI LSTM Baseline,2.163778326056764,1.9856572161101669,-0.1781211099465965,-8.970385648713807,7.947547409950298e-07,-0.1519527470095991,-0.2397470856257846,-0.1152669621978214
Held-Out Users,"Users [2, 15]","POI Attention LSTM - Exclude Users [2, 15]",Zero Displacement Baseline,2.163778326056764,1.9887724805426912,-0.175005845514072,-8.799691630201806,1.9452177260053698e-15,-0.2085153637395872,-0.2204652448765849,-0.1294932304985816
Held-Out Users,"Users [2, 15]","POI Attention LSTM - Exclude Users [2, 15]",Constant Velocity Baseline,2.163778326056764,2.376118887856186,0.2123405617994225,8.936445178928034,8.026654869847934e-09,0.1604932736878884,0.1425633279487721,0.2831439110005013
