Held-Out Env,Model,Baseline,Metric,N sequence observations,POI Attention MDE,Baseline MDE,MDE Improvement,Median Improvement,% Improvement,Wilcoxon Statistic,p-value,Cohen dz,95% CI Lower,95% CI Upper,Note,Held-Out Users
A,POI Attention LSTM - Exclude Env A,No-POI LSTM Baseline,MDE,45121,1.6196869207934015,1.8629754347194432,0.24328851392604153,0.20724250675351708,13.059136980122329,390944379.0,0.0,0.20082034592597295,0.23223705987058235,0.2546030639918133,Sequence-level test; overlapping windows may inflate significance.,
A,POI Attention LSTM - Exclude Env A,Zero Displacement Baseline,MDE,45121,1.6196869207934015,2.03465018647109,0.414963265677689,0.5074544940572157,20.394821106688806,304105627.0,0.0,0.34763744962483667,0.403959328998865,0.42602255915147147,Sequence-level test; overlapping windows may inflate significance.,
A,POI Attention LSTM - Exclude Env A,Constant Velocity Baseline,MDE,45121,1.6196869207934015,2.4954069637016754,0.8757200429082741,0.7189823240239053,35.09327559177902,219104857.0,0.0,0.48108035087553763,0.8593773079771319,0.8929960496371295,Sequence-level test; overlapping windows may inflate significance.,
B,POI Attention LSTM - Exclude Env B,No-POI LSTM Baseline,MDE,47497,1.6314217786181373,1.8278728745538904,0.19645109593575288,0.17417597277707964,10.747525097099471,454932663.0,1.1130715438769468e-291,0.16393404265374031,0.18579090500163697,0.20735193559192158,Sequence-level test; overlapping windows may inflate significance.,
B,POI Attention LSTM - Exclude Env B,Zero Displacement Baseline,MDE,47497,1.6314217786181373,2.0576799378449775,0.4262581592268404,0.5386213891482875,20.715474325577745,324552194.0,0.0,0.3629149369800139,0.4158064969757017,0.4368987166272204,Sequence-level test; overlapping windows may inflate significance.,
B,POI Attention LSTM - Exclude Env B,Constant Velocity Baseline,MDE,47497,1.6314217786181373,2.486477528551428,0.8550557499332903,0.7068610044857064,34.38823557080078,252782476.0,0.0,0.4337503219845125,0.8378168848074348,0.8726221042419642,Sequence-level test; overlapping windows may inflate significance.,
C,POI Attention LSTM - Exclude Env C,No-POI LSTM Baseline,MDE,58855,1.6102789582507284,1.8005217972242216,0.1902428389734934,0.14845027575948733,10.565983664667748,714038825.0,1.645723171623974e-297,0.15357524716012924,0.18031898875618144,0.20055444875555187,Sequence-level test; overlapping windows may inflate significance.,
C,POI Attention LSTM - Exclude Env C,Zero Displacement Baseline,MDE,58855,1.6102789582507284,2.037276794582241,0.42699783633151306,0.5393241507287585,20.959245079855343,506158541.0,0.0,0.36047296065117784,0.4175799283639044,0.4367528821210219,Sequence-level test; overlapping windows may inflate significance.,
C,POI Attention LSTM - Exclude Env C,Constant Velocity Baseline,MDE,58855,1.6102789582507284,2.3426238357252367,0.7323448774745085,0.5540464922342797,31.26173593498791,452308762.0,0.0,0.4554571111103604,0.7195075489151703,0.7455120831420116,Sequence-level test; overlapping windows may inflate significance.,
D,POI Attention LSTM - Exclude Env D,No-POI LSTM Baseline,MDE,84773,1.6397635064870535,1.7482895282907815,0.10852602180372832,0.07656936111373192,6.2075543007930145,1634036904.0,2.887435435892682e-115,0.08779613906514011,0.10025012376700627,0.11678321369913873,Sequence-level test; overlapping windows may inflate significance.,
D,POI Attention LSTM - Exclude Env D,Zero Displacement Baseline,MDE,84773,1.6397635064870535,1.9296009122743165,0.2898374057872629,0.3771676868028644,15.02058814045891,1231055809.0,0.0,0.25352135453172,0.28201143377967947,0.2973033320182017,Sequence-level test; overlapping windows may inflate significance.,
D,POI Attention LSTM - Exclude Env D,Constant Velocity Baseline,MDE,84773,1.6397635064870535,2.2956326406405347,0.6558691341534817,0.5085543099948888,28.570300079479573,1000434795.0,0.0,0.36919190136100266,0.6441712980012557,0.6680550411301786,Sequence-level test; overlapping windows may inflate significance.,
,"POI Attention LSTM - Exclude Users [2, 15]",No-POI LSTM Baseline,MDE,25670,1.3205563397114362,1.5227460740028576,0.20218973429142145,0.17570000295828445,13.27796785973142,129273745.0,4.233972318517641e-196,0.17738402555273075,0.18826882777114967,0.2157308036487541,Sequence-level test; overlapping windows may inflate significance.,"[2, 15]"
,"POI Attention LSTM - Exclude Users [2, 15]",Zero Displacement Baseline,MDE,25670,1.3205563397114362,1.9681559876521515,0.6475996479407153,0.8052213111679181,32.903878148055156,66616108.0,0.0,0.5702768293335739,0.6336195445544022,0.6615206447774229,Sequence-level test; overlapping windows may inflate significance.,"[2, 15]"
,"POI Attention LSTM - Exclude Users [2, 15]",Constant Velocity Baseline,MDE,25670,1.3205563397114362,2.1548626662455836,0.8343063265341477,0.7066924951830102,38.717378123579415,65664532.0,0.0,0.5755138307241696,0.8165765646685398,0.8520604913006609,Sequence-level test; overlapping windows may inflate significance.,"[2, 15]"
